id0,id1,relationship,count
600657541,611179051,reply-to,2
456439564,873722743,mentioned,1
2746356852,2733576793,mentioned,13
2151392191,393887721,reply-to,1
1109782843,2566146384,reply-to,4
1203078194,136034513,reply-to,1
2265058604,2973649443,reply-to,1
1611364122,1507770649,reply-to,1
614879811,597104420,reply-to,1
928930566,2493501393,mentioned,1
2477823223,2904020714,reply-to,1
430127541,1413761539,mentioned,1
1395050252,2353280685,reply-to,7
2564279666,2558487041,reply-to,1
813005310,1217286588,reply-to,1
1734176052,2838083302,reply-to,2
1222881480,2711324962,reply-to,1
572103841,38076933,mentioned,4
2220028958,2602860914,reply-to,1
2398588146,28805729,reply-to,1
37936484,855791893,mentioned,2
2351718736,1692004315,reply-to,3
3040872819,2908593735,mentioned,3
2788275124,2956952202,reply-to,2
2984480687,3042749944,reply-to,4
2233714086,3025464477,mentioned,1
3075014609,831840926,mentioned,1
2896722495,1442618282,reply-to,9
2288877212,2423903229,reply-to,5
213037272,16394061,reply-to,3
2904020714,2888682471,mentioned,4
2942487587,47304781,mentioned,4
1083554514,3123924813,reply-to,1
580170650,1478025571,reply-to,13
3070520465,2788275124,reply-to,10
2320332542,2450049327,mentioned,1
1477998709,873722743,reply-to,1
2287704289,2521923286,reply-to,2
2880128194,3098003831,reply-to,3
2254676649,549217987,reply-to,3
20741388,19741858,reply-to,8
3081161019,2953168387,mentioned,1
847529941,136034513,reply-to,2
1036114669,3031519894,reply-to,1
550525051,25311240,mentioned,1
2923933541,25311240,mentioned,5
2445712264,2362477976,mentioned,1
345776206,337386115,reply-to,4
2836473335,16423680,reply-to,2
2576957810,46438405,mentioned,1
2690163984,2798391001,mentioned,3
2904020714,2975516276,reply-to,4
473626239,785767908,reply-to,4
3078782464,2987744464,reply-to,2
2951458906,2615278179,mentioned,4
2300746824,1035787441,reply-to,1
1109782843,1898617614,reply-to,2
2832384698,2616033411,reply-to,3
2332261381,2493501393,reply-to,2
